,index, p__Bacteroidetes, p__Proteobacteria, p__Firmicutes, p__Fusobacteria, p__Actinobacteria, p__Verrucomicrobia, p__Cyanobacteria,, p__Synergistetes, p__Spirochaetes, p__[Thermi], p__Tenericutes, p__Acidobacteria, p__SR1, p__GN02, p__Crenarchaeota, p__Planctomycetes, p__Chloroflexi, p__FBP, p__TM7
0,L1S105,0.54,0.02,0.41000000000000014,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,L1S140,0.56,0.05,0.3900000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,L1S208,0.6700000000000002,0.0,0.3300000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,L1S257,0.66,0.04,0.3000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,L1S281,0.5000000000000001,0.0,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,L1S57,0.6200000000000001,0.03,0.35000000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,L1S76,0.53,0.03,0.44000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,L1S8,0.7100000000000001,0.01,0.23000000000000004,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,L2S155,0.02,0.34,0.28,0.03,0.30000000000000004,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,L2S175,0.10999999999999999,0.14,0.41000000000000014,0.02,0.32000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,L2S204,0.09999999999999999,0.6800000000000002,0.10999999999999999,0.02,0.04,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
11,L2S222,0.23,0.5000000000000001,0.10999999999999997,0.03,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
12,L2S240,0.09999999999999999,0.5900000000000001,0.19000000000000003,0.08,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,L2S309,0.03,0.14,0.5800000000000001,0.03,0.16,0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,L2S357,0.04,0.15,0.5800000000000001,0.01,0.21,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,L2S382,0.15000000000000002,0.25999999999999995,0.35000000000000003,0.1,0.12000000000000001,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,L3S242,0.7000000000000002,0.06,0.2,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,L3S294,0.01,0.43000000000000005,0.16,0.0,0.30000000000000004,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,L3S313,0.05,0.15000000000000002,0.4700000000000001,0.01,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,L3S341,0.13,0.52,0.23000000000000004,0.02,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,L3S360,0.06999999999999999,0.52,0.14,0.05,0.11000000000000001,0.0,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,L3S378,0.6800000000000002,0.01,0.31000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,L4S112,0.03,0.22,0.5800000000000002,0.01,0.13,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,L4S137,0.15,0.28,0.4500000000000001,0.03,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,L4S63,0.05,0.23000000000000007,0.3400000000000001,0.09999999999999999,0.18000000000000005,0.0,0.07999999999999999,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,L5S104,0.10999999999999999,0.27,0.3400000000000001,0.08,0.09,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,L5S155,0.11,0.5,0.30000000000000004,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,L5S174,0.4,0.18,0.32000000000000006,0.04,0.060000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,L5S203,0.09999999999999999,0.38,0.42,0.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,L5S222,0.18,0.41000000000000003,0.19,0.21,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,L5S240,0.04,0.6400000000000001,0.16,0.09,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,L6S20,0.03,0.64,0.18000000000000002,0.12000000000000001,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,L6S68,0.05,0.52,0.21000000000000002,0.15,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,L6S93,0.31000000000000005,0.30000000000000004,0.29000000000000004,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
